,TIME,RATE,ERROR,FRACEXP
148,118022548.44376001,85.38122,9.240196,1.0
149,118022549.44376001,70.125244,8.374082,1.0
150,118022550.44376001,66.88158,8.178116,1.0
151,118022551.44376001,60.87493,7.802239,1.0
152,118022552.44376001,92.8241,9.634526,1.0
153,118022553.44376001,79.439514,8.912885,1.0
154,118022554.44376001,67.936104,8.242336,1.0
155,118022555.44376001,85.1054,9.225259,1.0
156,118022556.44376001,71.85351,8.4766445,1.0
157,118022557.44376001,72.332405,8.504846,1.0
158,118022558.44376001,78.251305,8.845977,1.0
159,118022559.44376001,75.044,8.662794,1.0
160,118022560.44376001,76.1684,8.727451,1.0
161,118022561.44376001,79.79178,8.932625,1.0
162,118022562.44376001,63.346233,7.959035,1.0
163,118022563.44376001,82.092155,9.0604725,1.0
164,118022564.44376001,68.083305,8.251261,1.0
165,118022565.44376001,98.885025,9.944095,1.0
166,118022566.44376001,70.178024,8.377233,1.0
167,118022567.44376001,81.63392,9.035149,1.0
168,118022568.44376001,76.21981,8.730395,1.0
169,118022569.44376001,80.60601,8.978085,1.0
170,118022570.44376001,85.80802,9.263262,1.0
171,118022571.44376001,68.31897,8.265529,1.0
172,118022572.44376001,84.10718,9.170997,1.0
173,118022573.44376001,73.77228,8.589079,1.0
174,118022574.44376001,78.39853,8.854295,1.0
175,118022575.44376001,56.174683,7.494977,1.0
176,118022576.44376001,74.810165,8.649287,1.0
177,118022577.44376001,49.333202,7.02376,1.0
178,118022578.44376001,67.06496,8.18932,1.0
179,118022579.44376001,76.08755,8.722817,1.0
180,118022580.44376001,66.496254,8.154524,1.0
181,118022581.44376001,68.11504,8.253184,1.0
182,118022582.44376001,61.227333,7.8247895,1.0
183,118022583.44376001,74.588425,8.636459,1.0
184,118022584.44376001,64.659904,8.041139,1.0
185,118022585.44376001,78.54575,8.862604,1.0
186,118022586.44376001,79.715355,8.928346,1.0
187,118022587.44376001,64.12915,8.008068,1.0
188,118022588.44376001,72.76055,8.52998,1.0
189,118022589.44376001,81.91867,9.050894,1.0
190,118022590.44376001,71.01656,8.427133,1.0
191,118022591.44376001,69.96179,8.364317,1.0
192,118022592.44376001,76.0712,8.72188,1.0
193,118022593.44376001,85.22354,9.23166,1.0
194,118022594.44376001,59.303177,7.7008557,1.0
195,118022595.44376001,70.23958,8.380905,1.0
196,118022596.44376001,76.292336,8.734549,1.0
197,118022597.44376001,53.80112,7.3349247,1.0
198,118022598.44376001,65.331184,8.082771,1.0
199,118022599.44376001,86.33917,9.291887,1.0
200,118022600.44376001,62.288227,7.892289,1.0
201,118022601.44376001,72.37148,8.507143,1.0
202,118022602.44376001,80.43876,8.968766,1.0
203,118022603.44376001,60.628365,7.786422,1.0
204,118022604.44376001,83.267845,9.125122,1.0
205,118022605.44376001,90.129944,9.493679,1.0
206,118022606.44376001,77.43032,8.79945,1.0
207,118022607.44376001,89.028244,9.435478,1.0
208,118022608.44376001,77.19236,8.785918,1.0
209,118022609.44376001,72.52858,8.516372,1.0
210,118022610.44376001,81.88262,9.048902,1.0
211,118022611.44376001,67.56279,8.219659,1.0
212,118022612.44376001,69.02067,8.307868,1.0
213,118022613.44376001,79.51759,8.917264,1.0
214,118022614.44376001,64.71875,8.044796,1.0
215,118022615.44376001,81.8149,9.045159,1.0
216,118022616.44376001,81.647606,9.035907,1.0
217,118022617.44376001,72.45606,8.512113,1.0
218,118022618.44376001,71.429184,8.451579,1.0
219,118022619.44376001,64.1772,8.011067,1.0
220,118022620.44376001,83.08908,9.115321,1.0
221,118022621.44376001,75.964905,8.715785,1.0
222,118022622.44376001,66.52814,8.156478,1.0
223,118022623.44376001,72.33669,8.505098,1.0
224,118022624.44376001,72.50092,8.514748,1.0
225,118022625.44376001,62.832516,7.9266963,1.0
226,118022626.44376001,66.22059,8.137604,1.0
227,118022627.44376001,90.08873,9.4915085,1.0
228,118022628.44376001,67.4881,8.215114,1.0
229,118022629.44376001,70.3384,8.386799,1.0
230,118022630.44376001,90.11547,9.492917,1.0
231,118022631.44376001,55.96955,7.48128,1.0
232,118022632.44376001,74.608505,8.637622,1.0
233,118022633.44376001,87.871994,9.374006,1.0
234,118022634.44376001,82.09867,9.060832,1.0
235,118022635.44376001,78.47722,8.858737,1.0
236,118022636.44376001,80.43851,8.968752,1.0
237,118022637.44376001,61.996357,7.8737764,1.0
238,118022638.44376001,72.59272,8.520136,1.0
239,118022639.44376001,86.45091,9.297898,1.0
240,118022640.44376001,73.42319,8.568733,1.0
241,118022641.44376001,68.99914,8.306572,1.0
242,118022642.44376001,59.67322,7.7248445,1.0
243,118022643.44376001,72.19947,8.497027,1.0
244,118022644.44376001,71.44389,8.452449,1.0
245,118022645.44376001,64.07693,8.0048065,1.0
246,118022646.44376001,54.944836,7.4124784,1.0
247,118022647.44376001,73.771255,8.58902,1.0
248,118022648.44376001,70.96038,8.423799,1.0
249,118022649.44376001,68.85866,8.298112,1.0
250,118022650.44376001,87.5289,9.355688,1.0
251,118022651.44376001,71.68768,8.466858,1.0
252,118022652.44376001,75.4225,6.140949,2.0
253,118022654.44376001,84.62788,9.199341,1.0
254,118022655.44376001,60.533916,7.7803545,1.0
255,118022656.44376001,70.20403,8.378785,1.0
256,118022657.44376001,72.511345,6.0212684,2.0
257,118022659.44376001,66.61371,5.7712092,2.0
258,118022661.44376001,73.66877,8.583052,1.0
259,118022662.44376001,70.84784,5.9518,2.0
260,118022664.44376001,80.107765,6.3288136,2.0
261,118022666.44376001,70.745575,5.9475026,2.0
262,118022668.44376001,78.82056,6.2777605,2.0
263,118022669.44376001,60.946857,7.8068466,1.0
264,118022671.44376001,78.92399,6.2818785,2.0
265,118022673.44376001,75.4757,6.143114,2.0
266,118022675.44376001,78.43296,8.856238,1.0
267,118022676.44376001,71.0974,8.431928,1.0
268,118022677.44376001,52.91838,7.2745023,1.0
269,118022678.44376001,88.82669,9.424791,1.0
270,118022679.44376001,66.6862,8.1661625,1.0
271,118022680.44376001,88.65137,9.415485,1.0
272,118022681.44376001,69.89382,8.360252,1.0
273,118022682.44376001,71.47309,8.454176,1.0
274,118022683.44376001,60.8325,7.799519,1.0
275,118022684.44376001,66.585976,8.160023,1.0
276,118022685.44376001,72.47557,8.513259,1.0
277,118022686.44376001,87.72285,9.366048,1.0
278,118022687.44376001,89.95882,9.484662,1.0
279,118022688.44376001,74.704834,8.643196,1.0
280,118022689.44376001,66.48843,8.154043,1.0
281,118022690.44376001,75.16088,8.669538,1.0
282,118022691.44376001,72.51204,6.021297,2.0
283,118022693.44376001,76.12862,8.725171,1.0
284,118022694.44376001,91.49268,9.565181,1.0
285,118022695.44376001,78.4012,8.854445,1.0
286,118022696.44376001,81.94363,6.400923,2.0
287,118022698.44376001,61.88461,7.8666773,1.0
288,118022699.44376001,67.85226,8.237248,1.0
289,118022700.44376001,87.65838,9.362605,1.0
290,118022701.44376001,73.18037,6.048982,2.0
291,118022703.44376001,70.21258,5.925056,2.0
292,118022705.44376001,80.685486,6.3515935,2.0
293,118022706.44376001,73.712875,8.58562,1.0
294,118022707.44376001,68.83598,8.296745,1.0
295,118022708.44376001,76.06816,8.721706,1.0
296,118022709.44376001,65.4865,8.092373,1.0
297,118022710.44376001,74.715324,8.643803,1.0
298,118022711.44376001,73.462746,8.571041,1.0
299,118022712.44376001,82.964966,9.108511,1.0
300,118022713.44376001,58.444145,7.644877,1.0
301,118022714.44376001,69.18334,8.317653,1.0
302,118022715.44376001,64.23242,8.014513,1.0
303,118022716.44376001,78.467415,8.858184,1.0
304,118022717.44376001,60.797626,7.797283,1.0
305,118022718.44376001,87.36529,9.34694,1.0
306,118022719.44376001,66.72859,8.168757,1.0
307,118022720.44376001,65.4718,8.091465,1.0
308,118022721.44376001,59.424232,7.7087116,1.0
309,118022722.44376001,77.19838,8.786261,1.0
310,118022723.44376001,76.06434,8.721487,1.0
311,118022724.44376001,90.10741,9.492492,1.0
312,118022725.44376001,70.288,8.383794,1.0
313,118022726.44376001,78.21241,8.843778,1.0
314,118022727.44376001,97.008865,9.849308,1.0
315,118022728.44376001,81.798546,9.044255,1.0
316,118022729.44376001,68.81364,8.295399,1.0
317,118022730.44376001,58.281265,7.634217,1.0
318,118022731.44376001,90.26636,9.500861,1.0
319,118022732.44376001,80.94199,8.996777,1.0
320,118022733.44376001,84.450226,9.18968,1.0
321,118022734.44376001,76.76416,8.761516,1.0
322,118022735.44376001,63.221046,7.951166,1.0
323,118022736.44376001,87.67278,9.363375,1.0
324,118022737.44376001,77.958725,8.829424,1.0
325,118022738.44376001,62.15897,7.884096,1.0
326,118022739.44376001,68.73028,8.290373,1.0
327,118022740.44376001,58.593285,7.654625,1.0
328,118022741.44376001,72.290436,8.502378,1.0
329,118022742.44376001,60.948498,7.806952,1.0
330,118022743.44376001,75.47671,8.687733,1.0
331,118022744.44376001,74.799286,8.648658,1.0
332,118022745.44376001,87.88473,9.374685,1.0
333,118022746.44376001,61.87639,7.8661547,1.0
334,118022747.44376001,80.88134,8.993405,1.0
335,118022748.44376001,72.43611,8.510941,1.0
336,118022749.44376001,61.791264,7.860742,1.0
337,118022750.44376001,57.14273,7.559281,1.0
338,118022751.44376001,74.96589,8.658284,1.0
339,118022752.44376001,70.359245,8.3880415,1.0
340,118022753.44376001,71.17781,8.436694,1.0
341,118022754.44376001,79.566376,8.919998,1.0
342,118022755.44376001,66.785286,8.172227,1.0
343,118022756.44376001,61.90706,7.868104,1.0
344,118022757.44376001,79.33425,8.906978,1.0
345,118022758.44376001,76.13553,8.725568,1.0
346,118022759.44376001,74.67114,8.641247,1.0
347,118022760.44376001,78.445724,8.856959,1.0
348,118022761.44376001,79.43047,8.912377,1.0
349,118022762.44376001,71.27595,8.442509,1.0
350,118022763.44376001,56.251232,7.500082,1.0
351,118022764.44376001,72.92079,8.539367,1.0
352,118022765.44376001,65.587074,8.098585,1.0
353,118022766.44376001,82.73308,9.095773,1.0
354,118022767.44376001,92.151184,9.599541,1.0
355,118022768.44376001,82.93592,9.106916,1.0
356,118022769.44376001,68.89745,8.300449,1.0
357,118022770.44376001,55.99714,7.483124,1.0
358,118022771.44376001,66.807175,8.173566,1.0
359,118022772.44376001,79.587944,8.921207,1.0
360,118022773.44376001,80.95289,8.997382,1.0
361,118022774.44376001,76.21609,8.730183,1.0
362,118022775.44376001,61.865334,7.865452,1.0
363,118022776.44376001,72.47968,8.5135,1.0
364,118022777.44376001,64.41824,8.026097,1.0
365,118022778.44376001,65.78152,8.11058,1.0
366,118022779.44376001,74.58612,8.636326,1.0
367,118022780.44376001,60.676468,7.7895103,1.0
368,118022781.44376001,70.30411,8.384754,1.0
369,118022782.44376001,79.529465,8.91793,1.0
370,118022783.44376001,60.717484,7.7921424,1.0
371,118022784.44376001,73.54221,8.575676,1.0
372,118022785.44376001,73.767105,8.588778,1.0
373,118022786.44376001,82.162766,9.064368,1.0
374,118022787.44376001,87.54662,9.356635,1.0
375,118022788.44376001,71.22447,8.439459,1.0
376,118022789.44376001,80.1369,8.951921,1.0
377,118022790.44376001,76.97566,8.773578,1.0
378,118022791.44376001,61.85514,7.864804,1.0
379,118022792.44376001,73.663956,8.582771,1.0
380,118022793.44376001,77.851234,8.823335,1.0
381,118022794.44376001,81.07636,9.004241,1.0
382,118022795.44376001,80.72128,8.984503,1.0
383,118022796.44376001,74.93716,8.656625,1.0
384,118022797.44376001,79.43298,8.9125185,1.0
385,118022798.44376001,78.44358,8.856838,1.0
386,118022799.44376001,74.61623,8.638068,1.0
387,118022800.44376001,63.900364,7.99377,1.0
388,118022801.44376001,79.50705,8.916673,1.0
389,118022802.44376001,52.61727,7.2537766,1.0
390,118022803.44376001,72.64872,8.523422,1.0
391,118022804.44376001,68.902504,8.300754,1.0
392,118022805.44376001,74.88929,8.65386,1.0
393,118022806.44376001,72.55515,8.517931,1.0
394,118022807.44376001,71.39976,8.449838,1.0
395,118022808.44376001,71.358246,8.447381,1.0
396,118022809.44376001,67.87758,8.238785,1.0
397,118022810.44376001,80.32584,8.962468,1.0
398,118022811.44376001,83.07811,9.114719,1.0
399,118022812.44376001,73.99673,8.602135,1.0
400,118022813.44376001,75.963234,8.715689,1.0
401,118022814.44376001,70.25339,8.381729,1.0
402,118022815.44376001,77.12756,8.78223,1.0
403,118022816.44376001,70.45598,8.3938055,1.0
404,118022817.44376001,78.145454,8.839992,1.0
405,118022818.44376001,67.694,8.227636,1.0
406,118022819.44376001,68.2424,8.260896,1.0
407,118022820.44376001,67.88888,8.2394705,1.0
408,118022821.44376001,73.80033,8.590712,1.0
409,118022822.44376001,77.05175,8.777913,1.0
410,118022823.44376001,73.70279,8.585032,1.0
411,118022824.44376001,75.64733,8.697547,1.0
412,118022825.44376001,81.804886,9.044605,1.0
413,118022826.44376001,76.08926,8.722916,1.0
414,118022827.44376001,71.25759,8.4414215,1.0
415,118022828.44376001,78.28686,8.847986,1.0
416,118022829.44376001,59.728516,7.7284226,1.0
417,118022830.44376001,67.78575,8.233211,1.0
418,118022831.44376001,67.75839,8.231548,1.0
419,118022832.44376001,81.72082,9.039957,1.0
420,118022833.44376001,53.581207,7.3199186,1.0
421,118022834.44376001,67.88418,8.239185,1.0
422,118022835.44376001,57.297523,7.569513,1.0
423,118022836.44376001,73.45755,8.570738,1.0
424,118022837.44376001,61.041008,7.8128743,1.0
425,118022838.44376001,80.76696,8.987044,1.0
426,118022839.44376001,77.13037,8.78239,1.0
427,118022840.44376001,80.92005,8.995558,1.0
428,118022841.44376001,57.478146,7.5814342,1.0
429,118022842.44376001,63.247734,7.9528446,1.0
430,118022843.44376001,66.808304,8.173635,1.0
431,118022844.44376001,73.90024,8.596525,1.0
432,118022845.44376001,74.80345,8.648899,1.0
433,118022846.44376001,74.563324,8.635006,1.0
434,118022847.44376001,74.625656,8.638615,1.0
435,118022848.44376001,70.03735,8.368833,1.0
436,118022849.44376001,75.458206,8.686668,1.0
437,118022850.44376001,86.57666,9.304658,1.0
438,118022851.44376001,85.04511,9.221991,1.0
439,118022852.44376001,73.51212,8.573921,1.0
440,118022853.44376001,79.48282,8.915314,1.0
441,118022854.44376001,72.33008,8.504709,1.0
442,118022855.44376001,73.74587,8.587542,1.0
443,118022856.44376001,82.140015,9.063113,1.0
444,118022857.44376001,66.876274,8.177792,1.0
445,118022858.44376001,56.118973,7.4912596,1.0
446,118022859.44376001,65.34781,8.083799,1.0
447,118022860.44376001,57.58745,7.5886393,1.0
448,118022861.44376001,64.50449,8.031469,1.0
449,118022862.44376001,72.77499,8.530826,1.0
450,118022863.44376001,78.41009,8.854947,1.0
451,118022864.44376001,78.35872,8.852046,1.0
452,118022865.44376001,73.58655,8.57826,1.0
453,118022866.44376001,67.743385,8.230637,1.0
454,118022867.44376001,44.363018,6.660557,1.0
455,118022868.44376001,78.18623,8.842298,1.0
456,118022869.44376001,68.78266,8.293531,1.0
457,118022870.44376001,73.60157,8.579136,1.0
458,118022871.44376001,70.20201,8.378664,1.0
459,118022872.44376001,58.545635,7.651512,1.0
460,118022873.44376001,67.91982,8.241348,1.0
461,118022874.44376001,59.576656,7.7185917,1.0
462,118022875.44376001,81.98075,9.054322,1.0
463,118022876.44376001,69.16343,8.316455,1.0
464,118022877.44376001,81.775665,9.04299,1.0
465,118022878.44376001,91.25685,9.552845,1.0
466,118022879.44376001,95.92113,9.793933,1.0
467,118022880.44376001,72.15372,8.494334,1.0
468,118022881.44376001,72.4454,8.511486,1.0
469,118022882.44376001,80.84363,8.991308,1.0
470,118022883.44376001,78.48233,8.859025,1.0
471,118022884.44376001,80.711784,8.9839735,1.0
472,118022885.44376001,69.29755,8.324514,1.0
473,118022886.44376001,78.27996,8.847596,1.0
474,118022887.44376001,69.00417,8.306875,1.0
475,118022888.44376001,66.637955,8.163207,1.0
476,118022889.44376001,83.08439,9.115064,1.0
477,118022890.44376001,57.199604,7.563042,1.0
478,118022891.44376001,70.9643,8.424031,1.0
479,118022892.44376001,68.8915,8.300091,1.0
480,118022893.44376001,80.425156,8.968007,1.0
481,118022894.44376001,56.322124,7.504807,1.0
482,118022895.44376001,83.43946,9.134521,1.0
483,118022896.44376001,99.43725,9.971823,1.0
484,118022897.44376001,72.47693,8.513338,1.0
485,118022898.44376001,82.448425,9.0801115,1.0
486,118022899.44376001,92.37301,9.611088,1.0
487,118022900.44376001,92.1594,9.599969,1.0
488,118022901.44376001,67.47274,8.214179,1.0
489,118022902.44376001,70.090004,8.371977,1.0
490,118022903.44376001,73.67892,8.583642,1.0
491,118022904.44376001,66.33637,8.144714,1.0
492,118022905.44376001,75.92216,8.713332,1.0
493,118022906.44376001,60.63168,7.7866344,1.0
